1,霸王别姬,"张国荣,张丰毅,巩俐",1993,(中国香港)
2,罗马假日,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953,(美国)
3,肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994,(美国)
4,这个杀手不太冷,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",1994,(法国)
5,教父,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",1972,(美国)
6,泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998,null
7,唐伯虎点秋香,"周星驰,巩俐,郑佩佩",1993,(中国香港)
8,千与千寻,"柊瑠美,入野自由,夏木真理",2001,(日本)
9,魂断蓝桥,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",1940,(美国)
10,乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939,(美国)
11,喜剧之王,"周星驰,莫文蔚,张柏芝",1999,(中国香港)
12,天空之城,"寺田农,鹫尾真知子,龟山助清",1992,null
13,大闹天宫,"邱岳峰,毕克,富润生",1965,null
14,辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993,(美国)
15,音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965,(美国)
16,春光乍泄,"张国荣,梁朝伟,张震",1997,(中国香港)
17,剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",1990,(美国)
18,美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",1997,(意大利)
19,海上钢琴师,"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",1998,(意大利)
20,黑客帝国,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",2000,null
21,指环王3：王者无敌,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2004,null
22,加勒比海盗,"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",2003,null
23,无间道,"刘德华,梁朝伟,黄秋生",2003,null
24,哈利·波特与魔法石,"丹尼尔•雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2002,null
25,蝙蝠侠：黑暗骑士,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特",2008,(美国)
26,楚门的世界,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998,(美国)
27,射雕英雄传之东成西就,"张国荣,梁朝伟,张学友",1993,(中国香港)
28,教父2,"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",1974,(美国)
29,指环王2：双塔奇兵,"伊利亚•伍德,伊恩·麦克莱恩,丽芙•泰勒",2003,null
30,机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008,(美国)
31,拯救大兵瑞恩,"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",1998,(美国)
32,活着,"葛优,巩俐,牛犇",1994,(法国)
33,天堂电影院,"菲利普·努瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",1988,(意大利)
34,盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010,null
